Police Station,Year,Type,Date,Time,Place,Latitude,Longitude
Banashankari,2016,Murder,29-07-16,21:00,"22nd Cross, Jayanagara 6th Block Bangalore",12.93297,77.58381
Banashankari,2016,Murder,13-11-16,23:45,"On the Road of 30th Cross, Opp Vinayaka texttile, 4th Block Jayanagara Bangalore",12.930433,77.549761
Banashankari,2017,Murder,10-05-17,21:00,"No. 282, 36th Cross Jayanagara 7th Block Bangalore",12.923736,77.58182
Banashankari,2017,Murder,19-07-17,19:30,"Near Transfaram, Opp Amejan, Kanakapura Main Road, Jayanagara 7th Block Bangalore",12.924123,77.576913
Banashankari,2018,Murder,21-06-18,23:30,"No. 53, 2nd Floor, 8th Main 4th Block Jayanagar Bangalore",12.924377,77.582729
Banashankari,2018,Murder,17-07-18,21:15,"Ambedkar road Rajarajeshwari Slum, Shakambari Nagar Bangalore",12.920604,77.520557
Banashankari,2015,Murder,27-08-15,9:30,"Near Krishnarao Park, Divan Madava Rao Road, Basavanagudi , Bangalore.",12.940662,77.574095
Banashankari,2016,Murder,18-06-16,21:00,"No.36-1, 2nd Floor Khazee Street, Basavanagudi , Bangalore.",12.93878218,77.57956109
Banashankari,2017,Murder,02-07-17,18:30,"Nettakallppa BBMP Play Ground, Behind Ganesha Team, Basavanagudi , Bangalore.",12.9399013,77.57337112
Banashankari,2019,Murder,29-07-19,18:00,"No 69 Krishna Road out houes, Basavanagudi , Bangalore.",12.944557,77.57758
Banashankari,2015,Murder,07-01-15,6:00,"No.A8
304 Elita Apartment, JP
Nagar 7th Phase,
Bengaluru City,
Karnaka -560078",12.9076508,77.5951967
Banashankari,2015,Murder,26-01-15,4:10,"Newly Construction
Building of Kirnakumar,
Near Adigas Hotel, BG
Road, Panduranganagar,
Bengaluru City,
Karnaka-560076",12.9076508,77.5951967
Banashankari,2015,Murder,08-11-15,8:00,"Infront of House no 110,
6th Cross KR Layout
jpnagar 6th phase,
Bengaluru City, Karnaka",12.9030543,77.5813948
Banashankari,2016,Murder,16-05-16,7:30,"Newly Construction
buildingNext to
Siddlingeshwara, 17th cross
jpnagar 6th phase,
Bengaluru City,
Karnaka-560078",12.9036647,77.5785439
Banashankari,2016,Murder,06-09-16,9:15,"House No.19 Near
Jaraganahalli Park, Jp
nagara 6th Phase,
Bengaluru City,
Karnaka-560078",12.9004589,77.5684636
Banashankari,2016,Murder,11-09-16,2:50,"Lakshmi, 78 old no 32
1st floor 14th A cross, Vivers
colony Sarakki JPnagar 1st
phase,
Bengaluru City,
Karnaka -560078",12.909427,77.5706543
Banashankari,2016,Murder,21-11-16,2:20,"House No-126-2, 4th
Cross, Sarakki Garden,, JP NAGAR 6th Phase, karnaka",12.9039655,77.5804308
Banashankari,2018,Murder,01-01-18,2:00,"ON FOOTPH, IN
FRONT OF BALAJI WINES
STORE,, 15TH CROSS, J
P NAGAR, Bengaluru City,
Karnaka",12.9039653,77.5738647
Banashankari,2018,Murder,01-01-18,2:15,"In Front of Balaji Rise
Traders, 7th Cross,,
Shakambari Nagar,
J.P.Nagar 1st Phase,
Bengaluru City,
Karnaka-560078",12.9124543,77.5737283
Banashankari,2019,Murder,25-08-19,1:30,"IN FRONT OF
PRUDENCE AUTO
GARRAGE, 19TH MAIN, J
P NAGAR 2ND PHASE,
Bengaluru City,",12.9108342,77.5866704
Banashankari,2019,Murder,25-08-19,2:30,"IN FRONT OF NO. 822, 24TH MAIN, J P NAGAR 2ND PHASE. BANGALORE-78",12.9071236,77.583816
Banashankari,2016,Murder,25-03-16,21:40,"No-3335, Govt School
opp,, Cauveri nagar,
Banashankari 2nd stage,
Bengaluru City,","12°55'3.65""N","77°34'6.67""E"
Banashankari,2016,Murder,26-04-16,8:15,"No. 46, Sapalamma
Temple Road,,
Kadirenahalli, Banashankari
2nd Stage, Bengaluru City,
Karnaka","12°54'55.52""N","77°33'43.22""E"
Banashankari,2016,Murder,08-05-16,6:15,"#NA, Bhavani Nagara , Bsk 2nd Stage, Bengaluru","12°54'54.21""N","77°33'57.57""E"
